

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
        90         314         774         266        288  cwtsr_Lib.selectBaseResource
        76         482         926         349        159  cwt_do.siteDoc.cwOnDocVisualKey
        73         461         887         339        159  cwt_on_ovr.getSiteVisualKeyById
        71         451         871         334        159  cwt_on_cim_ext.loadSiteUIDoc
        62         762      55,198          68         82  cwt_do.api.orderClassUI.updateItemsAndOrderState
        61          68         473          16        898  cwt_do.addScopeRelation
        43         172         839          32        252  cwt_do.ClsDataOrderHelperUI.getSitesForItem
        39          78         266          43        498  cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
        38          77         788           9        503  cwt_do.ClsDataOrderHelperUI.isItemInSite
        36          74         253          40        498  cwt_do.ClsDataOrderHelperUI.isItemLogicalType
        33          79         160          49        420  cwt_do.setInitialState
        33          18          61           6      1,788  cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
        30          15         189           7      1,986  cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
        30          15          93           8      1,992  cwt_do.ClsDataOrderHelperUI.getObjectsByCode
        28          58         150          27        498  cwt_do.getLogicalItemType
        26         106         606          24        252  cwt_do.ClsDataOrderHelperUI.getAccountsForItem
        25          32          65          20        796  cwt_do.Constants
        25          87      12,044           8        295  cwt_do.ClsDataOrderHelperUI.addAccount
        24          89         181          54        270  cwt_do.getSharableCandidates
        24         310         604         106         78  dataorder.service.beforeAddOrderItem
        23          46         577           7        503  cwt_do.ClsDataOrderHelperUI.isItemInAccount
        23           9         102           5      2,362  cwtsr_Lib.escapeTextForJson
        23           8         120           3      2,835  cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
        23      23,131      23,131      23,131          1  start.collectStatisticsHistoryByFPS.cwOnProcActBefore
        23      23,093      23,093      23,093          1  cwt_sof.reports.collectStatisticsHistoryByFPS
        22         292         581          89         78  cwt_do.api.beforeAddItemHandler
        21          53         245          33        406  cwt_do.getClsInterface
        20         252         417         206         82  cwt_do.ClsDataOrderHelperUI.onInit
        20           2          52           1      7,466  cwt_do.ClsDataOrderHelperUI.getObjectByGUID
        19          81         269          44        242  cwt_do.getCatalogHelper
        18           9          48           4      1,974  cwt_do.ClsDataOrderHelperUI.lookup
        17          17         109          11      1,002  cwt_do.doCatalogTypeConfig.isService
        16         215         486          18         78  cwl_ce_om.omAddImplicitRelReliesOnHandler
        16          56       7,172           8        295  cwt_do.ClsDataOrderHelperUI.addSite
        16          18         386           6        885  cwt_do.api.orderClassUI.findRelatedObjectInstance
        16           6         147           3      2,490  CER2.0-10.3-R13-002/$g/1431399600
        16         199         310         165         82  cwt_do.api.orderClassUI.onInit
        16          16         132          11        972  cwtsr_Lib.entitiesFnd.cwOnInitSearch
        16          15         186           3      1,006  cwt_do.ClsDataOrderHelperUI.getRelationByGUID
        16          38         173          18        420  cwt_do.api.orderClassUI.setPOOINotes
        14         182         286         151         82  cwt_do.api.orderClassUI.initGlobalVariables
        14          11          62           5      1,245  CER2.0-10.3-R07-002/$g/1431399600
        12          10          42           4      1,245  mefServiceTechnology_PS_EVC/$g/1431399600
        12          27         245          13        448  cwt_do.ClsDataOrderHelperUI.getAvailableBasketItemsForScopeRelation
        12           7          41           4      1,716  CER2.0-10.3-R64-65-67/$g/1431399600
        11          34         112           9        342  cwt_do.api.orderClassUI.updateItemRelationsAction
        11          27         101          15        420  cwt_do.getInitialState
        11          20          87          10        577  cwt_do.getClsCatalogTypes
        11          38          78          25        288  cwtsr_Lib.dateToISO
        11          15         112          10        696  cwt_do.doCatalogTypeConfig.isResource
        10          96         185          53        114  eoc_commons.validateCharacteristic
        10       1,567       3,904         852          7  start.evaluate.cwOnProcActBefore
        10         903       1,708         583         12  cwl_dbqueue.queueListenerThread
        10           9          59           2      1,134  cwt_do.ClsDataOrderHelperUI.getObjectById
        10         133         515          32         79  cwt_do.api.orderClassUI.getAccountId
        10       1,430       3,212         820          7  cwt_sof.controller_evaluate
         9           5          67           2      1,914  eoc_commons.isFault
         9       1,392       2,495         828          7  start.evaluate.cwOnProcActBefore
         9           5          26           2      1,698  cwt_dict.isOneOf
         9          58         482           8        157  cwt_do.api.orderClassUI.getAccount
         9         753       1,587         438         12  cwl_dbqueue.getNextMessage
         9       1,290       2,264         801          7  cwl_om.processScheduledOrder
         8         109         429          28         78  cwt_do.api.orderClassUI.getSiteId
         7          50         390          10        156  cwt_do.api.orderClassUI.getSite
         7           4          24           3      1,698  CER2.0-10.3-R103-002/$g/1431399600
         5       5,717       5,717       5,717          1  on.service.getDataURL
         5       1,374       2,751          18          4  cwt_do.api.orderClassUI.getRelatedObjects
         5           5          92           2      1,002  cwt_do.doCatalogTypeConfig.getServiceTypes
         5          15          31           9        342  cwt_do.api.mapOrderItem2BasketItemDoc.updatedby--1537437958.cwOnItemConversion
         5          16          99           3        306  eoc_commons.toItemsMap
         3          50         344          40         78  cwt_do.addIncludeRelation
         3          11          27           6        288  cwt_do.getOwnertPO
         3           4          88           2        696  cwt_do.doCatalogTypeConfig.getResourceTypes
         2           7          17           5        342  cwt_do.api.mapOrderItem2BasketItemDoc.cwcreatedby-1402875762.cwOnItemConversion
         2           7          15           4        342  cwt_do.api.mapOrderItem2BasketItemDoc.itemNotes-1220182792.cwOnItemConversion
         2           7          13           4        342  cwt_do.api.mapOrderItem2BasketItemDoc.quantity--1872888643.cwOnItemConversion
         2           5          10           3        420  cwt_do.api.orderClassUI.updateProductPrice
         2           5          36           2        398  cwt_do.relatedObject.cwOnDocLoad
         2          27          46          11         84  cwt_do.ClsDataOrderHelperUI.updateSites
         2          23          67          18         89  cwt_do.orderInstance.cwOnDocInit
         2         288       1,474          55          7  cwt_sof.TAISearch.cwOnGenDocFieldsInit
         2          27          50          16         72  cwt_do.api.orderClassUI.existsTargetRelation
         1          17          36          10         97  eoc_commons.getResourceURI
         1          18          34           7         82  cwt_do.api.mapOrder2OrderInstanceDoc.updatedBy-623915279.cwOnItemConversion
         1          11          38           6        132  cwt_do.ClsDataOrderHelperUI.getRelationAttributeValue
         1       1,503       1,503       1,503          1  cwl_on.resourceValidationON
         1           2          51           1        498  cwt_do.ClsDataOrderHelperUI.getConfig
         1          15          76           9         84  cwt_do.ClsDataOrderHelperUI.bindCatalog
         1          15          21          11         82  cwt_do.api.orderClassFactory
         1           2           6           1        498  cwt_do.doConfig.getLogicalItemTypes
         1          13          20           6         84  cwt_do.ClsDataOrderHelperUI.updateAccounts
         1          12          42           7         89  cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
         1         145         908          11          7  cwt_sof.supSof5EventHandler.ganttShowConnectors
         1          12          24           9         78  cwt_do.api.orderClassUI.getDefaultCustomerId
         0          10          29           8         78  cwt_do.api.orderClassUI.getRootProductOffering
         0         677         677         677          1  cwt_do.api.orderClassUI.loadOrder
         0           8          19           6         82  cwt_do.api.mapOrder2OrderInstanceDoc.relatedOrders--1406557411.cwOnItemConversion
         0           4          12           2        157  cwt_do.ClsDataOrderHelperUI.getAccounts
         0          75         497           6          8  cwt_do.api.orderClassUI.setField
         0         584         584         584          1  start.evaluate.cwOnProcActBefore
         0           3          15           2        156  cwt_do.ClsDataOrderHelperUI.getSites
         0         556         556         556          1  cwt_sof.controller_evaluate_scheduledFPI
         0           9          25           5         54  eoc_commons.compareArrays
         0           5          19           4         82  cwt_do.api.mapOrder2OrderInstanceDoc.createdBy-1080670400.cwOnItemConversion
         0           5          10           4         82  cwt_do.api.mapOrder2OrderInstanceDoc.ordVer--1304809197.cwOnItemConversion
         0           5          28           4         82  cwt_do.api.mapOrder2OrderInstanceDoc.attrs--1024322927.cwOnItemConversion
         0          33          52          25         13  cwt_do.api.orderClassUI.mapRelatedObjectDoc2Structure
         0           5          15           3         82  cwt_do.api.mapOrder2OrderInstanceDoc.notes--157140706.cwOnItemConversion
         0           2           4           1        164  com.conceptwave.system.UserInterface.onInit
         0         407         407         407          1  cwl_on.mapDataOrder2ONResponse
         0         393         393         393          1  cwl_interface_controller.TmfRestListenerController.onRequestIn
         0         390         390         390          1  cwl_on.mapDO2ONResponseHandler
         0         370         370         370          1  cwl_on.getRelatedObjectsFromItem
         0         326         326         326          1  cwl_interface_controller.TmfRestListenerController.parseQuerystring
         0         308         308         308          1  on.service.validateRequestElements
         0          38          55          29          7  start.loopBack.cwOnDuration
         0           3          15           2         82  cwt_do.ClsDataOrderHelperUI.getObjectsByType
         0         259         259         259          1  cwt_do.api.orderClassUI.findRelatedObjects
         0         248         248         248          1  cwt_do.api.orderClassUI.fetchRelatedObjects
         0          96         168          24          2  cwl_on.addDaysFromToday
         0         190         190         190          1  on.service.setUserLanguage
         0          25          28          18          7  start.loopBack.cwOnDuration
         0          42          55          25          4  cwt_do.new_cwt_do.dataOrder.cwOnOrdVisualKey
         0         164         164         164          1  cwl_interface_controller.TmfRestListenerController.insertFieldValue
         0          29          40          18          5  cwt_do.relatedObject.cwOnDocStore
         0         111         111         111          1  cwl_on.createHashRequestID
         0          23          38          14          4  cwt_do._getVisualKey
         0          15          25           9          5  cwt_do.relatedObject.cwOnDocInit
         0          76          76          76          1  dataorder.service.getOrderNextState
         0          31          40          22          2  cwl_on.validateField
         0          48          48          48          1  cwt_do.api.getOrderNextStateCore
         0          11          19           4          4  api_common.isFault
         0          20          28          13          2  eoc_commons.validateEnum
         0          39          39          39          1  cwl_on.lockOrUnlockON
         0          35          35          35          1  cwl_interface_controller.TmfRestListenerController.onResponseOut
         0          31          31          31          1  eoc_commons.validateRelatedPartyHandler
         0          31          31          31          1  cwl_interface_controller.TmfRestListenerController.getFieldIndexByName
         0          28          28          28          1  start.loopBack.cwOnDuration
         0          28          28          28          1  on.service.setCatalogContextAttrs
         0           4           5           3          7  cwt_sof.gantt_showConnectors
         0          25          25          25          1  cwt_do.api.validateOrderHandler
         0          25          25          25          1  cwl_on.setOrderCatalogTime
         0           7          10           5          3  cwt_do.api.orderClassUI.setArrayField
         0          21          21          21          1  cwl_on.setNewOrderStates
         0          19          19          19          1  cwl_interface_controller.TmfRestListenerController.parseDynamicValues
         0          19          19          19          1  cwl_on.setHttpLocationHeader
         0          18          18          18          1  on.service.process_response
         0          11          11          11          1  cwl_on.mapONRequestSC2DataOrder.isLocked-1478652886.cwOnItemConversion
         0           8           8           8          1  cwl_on.expandEntity
         0           7           7           7          1  eoc_commons.getCustomerMSISDNHandler
         0           6           6           6          1  cwl_on.mapONRequestSC2DataOrder.isBundled-1574160069.cwOnItemConversion
         0           4           4           4          1  cwl_interface_controller.TmfRestListenerController.onPostOut
         0           3           3           3          1  cwl_interface_controller.TmfRestListenerController.onPostIn
         0           3           3           3          1  cwl_interface_controller.TmfRestListenerController.isApplyFilter
    -----------------------------------------------------
   465,157       1,019  30,086,985           1    456,218


 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALL STACKS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
    30,086  30,086,985  30,086,985  30,086,985          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
    30,080  30,080,604  30,080,604  30,080,604          1  . on.service.createShoppingCart
    30,080  30,080,553  30,080,553  30,080,553          1  . . cwl_on.createShoppingCart
    29,629  29,629,477  29,629,477  29,629,477          1  . . . dataorder.service.createOrder
    29,629  29,629,465  29,629,465  29,629,465          1  . . . . api_common.publish
    29,629  29,629,414  29,629,414  29,629,414          1  . . . . . cwt_do.api.createOrderHandler
    28,952  28,952,773  28,952,773  28,952,773          1  . . . . . . cwt_do.api.orderClassUI.loadItemsFromServiceRegistry
    28,952  28,952,738  28,952,738  28,952,738          1  . . . . . . . api_common.publish
    28,952  28,952,657  28,952,657  28,952,657          1  . . . . . . . . cwt_on_cim_ext.getExistingAccountServices
    16,793     215,299     492,067      37,164         78  . . . . . . . . . dataorder.service.addOrderItem
    16,791     215,277     492,046      37,141         78  . . . . . . . . . . cwt_do.api.addOrderItemHandler
     7,651      98,097     252,646      15,753         78  . . . . . . . . . . . cwt_do.api.orderClassUI.addOrderItem
     5,971      76,554     220,774       6,795         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.addProductOfferingToOrder
     5,959      76,403     220,631       6,650         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.addPOtoOrder
     5,889      75,511     219,753       5,896         78  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addItem
     5,664      72,620     218,346       3,446         78  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.save
        65         476         926         349        137  . . . . . . . . . . . . . . . . cwt_do.siteDoc.cwOnDocVisualKey
        62         455         887         339        137  . . . . . . . . . . . . . . . . . cwt_on_ovr.getSiteVisualKeyById
        61         445         871         334        137  . . . . . . . . . . . . . . . . . . cwt_on_cim_ext.loadSiteUIDoc
       207       2,663       7,639       1,073         78  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
       111       1,685       3,614         537         66  . . . . . . . . . . . . . . . . cwt_do.addRequireRelation
        54         911       3,432         349         60  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
        22         625       1,322         119         36  . . . . . . . . . . . . . . . . . . cwt_do.addRequireRelation
        16         544       1,120         329         30  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
         3         547         708         485          6  . . . . . . . . . . . . . . . . . . . . cwt_do.addRequireRelation
         2         360         458         316          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
         0         113         151          90          6  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         0         109         144          86          6  . . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         0          92         121          72          6  . . . . . . . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           2           3           2          6  . . . . . . . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           2           3           2          6  . . . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         0          62          82          48          6  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0          17          24          15          6  . . . . . . . . . . . . . . . . . . . . . . cwt_do.getOwnertPO
         0          46          62          39          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         0          15          24          11         12  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         0           8          13           6         12  . . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          30          45          26          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          10          16           7         12  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           4           5           3         12  . . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          27          37          20          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0          18          24          17          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          11          14          10          6  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           3           5           3          6  . . . . . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         2          98         205          40         30  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         2          82         112          57         30  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         2          78         106          53         30  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         1          64          83          40         30  . . . . . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           2           4           2         30  . . . . . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           2           4           2         30  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         1          55          68          52         18  . . . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
         0          30          40          29         18  . . . . . . . . . . . . . . . . . . . . . $g$getParent
         0          16          23          15         18  . . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          27          33          26         18  . . . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
         0          19          24          18         18  . . . . . . . . . . . . . . . . . . . . . $g$getParent
         0          10          12          10         18  . . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          14          22          13         30  . . . . . . . . . . . . . . . . . . . . cwt_do.getOwnertPO
         2          55          90          32         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         1          20          59          10         72  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         0          13          53           5         72  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         1          30          73          24         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0           9          42           7         72  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           3           6           3         72  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          24          40          16         30  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
