

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         0           2           3           2         18  . . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         0          18          27          16         18  . . . . . . . . . . . . . . . . . . . . cwt_do.getOwnertPO
         2          70         286          39         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         1          27         198          10         72  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         1          20         186           4         72  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         1          31          47          25         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          10          20           7         72  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           4           7           3         72  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          21          33          16         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          14          22          10         36  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0          28          40          25         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0           3           5           2         36  . . . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         3         176         264          91         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         1          84         113          75         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         1          79         107          70         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         1          61          84          54         18  . . . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           2           3           2         18  . . . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           2           4           2         18  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         1          63          82          58         18  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
         0          46          60          42         18  . . . . . . . . . . . . . . . . . . . $g$getParent
         0          23          31          21         18  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          29          44          26         18  . . . . . . . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
         0          21          32          18         18  . . . . . . . . . . . . . . . . . . . $g$getParent
         0          11          17          10         18  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0           7           9           5         18  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
         2          77         116          62         36  . . . . . . . . . . . . . . . . . cwt_do.setInitialState
         1          30          50          20         36  . . . . . . . . . . . . . . . . . . cwt_do.getInitialState
         0          22          38          14         36  . . . . . . . . . . . . . . . . . . . cwt_do.getClsCatalogTypes
         0          27          42          25         36  . . . . . . . . . . . . . . . . . . cwt_do.Constants
         1          69          98          49         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         0          26          46          14         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         0          18          38           6         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         1          34          62          22         36  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0          31          49          27         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          10          19           7         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           4           7           3         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          29          49          25         18  . . . . . . . . . . . . . . . . . cwt_do.Constants
         0          20          29          17         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          14          21          12         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           3           4           2         18  . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
        14         818       1,020         678         18  . . . . . . . . . . . . . . . . cwt_do.addRequireRelation
        10         601         735         489         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
         3         177         259          94         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         2         149         206         130         18  . . . . . . . . . . . . . . . . . . cwt_do.addRequireRelation
         1          64          90          50         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         0          24          46          14         36  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         0          17          37           6         36  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          30          46          27         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          10          16           7         36  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           3           6           3         36  . . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          19          29          17         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          12          17          10         18  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           3           5           3         18  . . . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         1          63          91          57         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         1          59          85          53         18  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         0          45          64          41         18  . . . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           2           3           2         18  . . . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           2           3           2         18  . . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         0          16          24          14         18  . . . . . . . . . . . . . . . . . . cwt_do.getOwnertPO
         1          69         104          52         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         0          26          55          14         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         0          18          44           6         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          32          52          27         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          10          21           7         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           4           8           3         36  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         0          30          39          26         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0          23          34          20         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          15          23          13         18  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           4           5           3         18  . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         8         227         371         108         36  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         4         121         168         100         36  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
         4         114         158          93         36  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
         3          90         128          71         36  . . . . . . . . . . . . . . . . . . cwt_do.getLogicalItemType
         0           3           4           2         36  . . . . . . . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         0           3           7           2         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
         3         102         247          33         36  . . . . . . . . . . . . . . . . cwt_do.addScopeRelation
         1          92         141          73         18  . . . . . . . . . . . . . . . . . cwt_do.getSharableCandidates
         0           2           6           1        134  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           8          17           4         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         0          10          17           8         12  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationAttributeValue
         0          19          39          14         36  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          13          27          10         36  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0          32          49          27         18  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         0           3           7           2         36  . . . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         6          68         115          49         90  . . . . . . . . . . . . . . . cwt_do.setInitialState
         2          26          43          21         90  . . . . . . . . . . . . . . . . cwt_do.Constants
         2          24          45          15         90  . . . . . . . . . . . . . . . . cwt_do.getInitialState
         1          17          35          10         90  . . . . . . . . . . . . . . . . . cwt_do.getClsCatalogTypes
         5         148         216          92         36  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
         4          64         169          21         72  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInSite
         3          54         163          10         72  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         2          36          58          25         72  . . . . . . . . . . . . . . . cwt_do.Constants
         2          32          78          20         72  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         1          37          71          31         36  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccountsForItem
         0          12          26           7         72  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemInAccount
         0           4           8           3         72  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationByGUID
         1          16          41          10         72  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         0          11          36           5         72  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         0           2           4           2         72  . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
        49          77         473          16        646  . . . . . . . . . . . . . . cwt_do.addScopeRelation
        21          91         181          59        234  . . . . . . . . . . . . . . . cwt_do.getSharableCandidates
         4           2          13           1      2,092  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         3           7          20           3        468  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         1          11          38           6        120  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getRelationAttributeValue
         9          14          37           8        646  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         5           8          29           4        646  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         8          37         358          15        234  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         2           3          55           1        646  . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
        12          27         245          13        448  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAvailableBasketItemsForScopeRelation
         5          13          56           8        448  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         3           8          48           4        448  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         1          14         189           7        126  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         0           3           5           2         36  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
        11          38          97          24        304  . . . . . . . . . . . . . . cwt_do.addRequireRelation
         4          14          36           9        304  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
         2           8          25           5        304  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.lookup
         1           3          15           2        304  . . . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
         4           2          13           1      2,144  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         3           5          27           3        507  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         2          27          50          16         72  . . . . . . . . . . . . . cwt_do.api.orderClassUI.existsTargetRelation
         1          15          28           7         72  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         0          13          23           6         72  . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
       192       2,471       4,102       1,514         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
        84       1,083       2,161         209         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectsBySource
         0           2           7           1        234  . . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
        66         848       1,536         727         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharacteristics
         3           1          14           1      2,028  . . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
        15         193       1,006          20         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharges
         8         113         206          87         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.findBasketItemRelations
         1          17          44          11         78  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         0           9          27           6         78  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         0           4           7           2        150  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           1           5           1        150  . . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         2          30          60          25         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         0           2           6           1        156  . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
       115         392      16,718         231        294  . . . . . . . . . . . . cwt_do.api.orderClassUI.persistOrderItemRelatedObjects
        99         112      10,148          61        882  . . . . . . . . . . . . . cwt_do.api.orderClassUI.addRelatedObject
        16          18         386          11        882  . . . . . . . . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectInstance
        13          46       9,944           8        294  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addAccount
         9       9,860       9,860       9,860          1  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.save
         1       1,541       1,541       1,541          1  . . . . . . . . . . . . . . . . cwt_do.orderInstance.cwOnDocStore
         0          18          18          18          1  . . . . . . . . . . . . . . . . cwt_do.relatedObject.cwOnDocStore
         9          32       6,136           8        294  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addSite
         6       6,054       6,054       6,054          1  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.save
         1       1,211       1,211       1,211          1  . . . . . . . . . . . . . . . . cwt_do.orderInstance.cwOnDocStore
         0         456         456         456          1  . . . . . . . . . . . . . . . . cwt_do.siteDoc.cwOnDocVisualKey
         0         445         445         445          1  . . . . . . . . . . . . . . . . . cwt_on_ovr.getSiteVisualKeyById
         0         436         436         436          1  . . . . . . . . . . . . . . . . . . cwt_on_cim_ext.loadSiteUIDoc
         0          24          24          24          1  . . . . . . . . . . . . . . . . cwt_do.relatedObject.cwOnDocStore
         3           3          38           2        882  . . . . . . . . . . . . . . eoc_commons.isFault
         0          12          12          12          2  . . . . . . . . . . . . . . cwt_do.relatedObject.cwOnDocInit
        36          62         259          21        585  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
        24          82         160          58        294  . . . . . . . . . . . . cwt_do.setInitialState
         9          32          65          24        294  . . . . . . . . . . . . . cwt_do.Constants
         8          28         101          18        294  . . . . . . . . . . . . . cwt_do.getInitialState
         6          20          68          13        294  . . . . . . . . . . . . . . cwt_do.getClsCatalogTypes
        24         310         604         106         78  . . . . . . . . . . . . dataorder.service.beforeAddOrderItem
        22         292         581          89         78  . . . . . . . . . . . . . cwt_do.api.beforeAddItemHandler
        16         215         486          18         78  . . . . . . . . . . . . . . cwl_ce_om.omAddImplicitRelReliesOnHandler
         1          59          93          25         18  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectsByCode
        14         184         417          93         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.validateAndSetProductCharacteristics
         2          21         107           4        124  . . . . . . . . . . . . . cwt_do.isAttrMappedFromParent
        10         133         515          32         79  . . . . . . . . . . . . cwt_do.api.orderClassUI.getAccountId
         8         101         482           8         79  . . . . . . . . . . . . . cwt_do.api.orderClassUI.getAccount
         0           4           6           2         79  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccounts
         8         109         429          28         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.getSiteId
         6          87         390          11         78  . . . . . . . . . . . . . cwt_do.api.orderClassUI.getSite
         0           3           5           2         78  . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSites
         4          54          80          47         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.setPOOINotes
         0           2           4           2         78  . . . . . . . . . . . . . com.conceptwave.system.DataStructure.onInit
         1           6          67           3        234  . . . . . . . . . . . . eoc_commons.isFault
         1          12          24           9         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.getDefaultCustomerId
         0          10          29           8         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.getRootProductOffering
         0           2          22           2         78  . . . . . . . . . . . . . eoc_commons.isFault
         0           3          10           3         78  . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
     5,194      66,600     157,598       6,588         78  . . . . . . . . . . . cwt_do.api.orderClassUI.loadOrderById
     4,455      57,127     143,549       4,736         78  . . . . . . . . . . . . cwt_do.api.orderClassUI.init
     3,875      49,681     117,477       1,461         78  . . . . . . . . . . . . . cwt_do.new_cwt_do.dataOrder.getHelper
     3,873      49,655     117,450       1,443         78  . . . . . . . . . . . . . . cwt_do.getDOHelper
     3,851      49,373     117,163       1,201         78  . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.initGlobalVariables
     3,841      49,251     117,055       1,086         78  . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.initial
     3,838      49,211     117,005       1,060         78  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.loadItems
     1,745      22,380      58,230          14         78  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.recalculateCalculatedValuesInBasket
       650         848      39,638         155        766  . . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
       641         418      39,481          72      1,532  . . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
       497          62      39,391          38      7,938  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
       273           7      39,309           4     36,318  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        58           7          46           5      8,124  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
       176         460       1,738          78        383  . . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
       173         453       1,725          73        383  . . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
       126          55         341          39      2,269  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        64           6         152           5     10,042  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        19           7          33           6      2,745  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
       176         370         767         251        476  . . . . . . . . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
       168         176         587          77        952  . . . . . . . . . . . . . . . . . . . . $g$getParent
       102          64         280          39      1,599  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        50           7         130           5      7,112  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        27           7          27           5      3,770  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
       174         456       1,691          79        383  . . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
       172         450       1,679          73        383  . . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
       125          55         203          39      2,269  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        64           6          91           5     10,042  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        19           7         103           6      2,745  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
       169         355       1,183         299        476  . . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
       164         346       1,163         291        476  . . . . . . . . . . . . . . . . . . . . $g$getParent
       104          54         700          28      1,904  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        49           6          70           5      7,186  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        23           7          38           5      3,314  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
       165         348         736         294        476  . . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
       161         339         720         287        476  . . . . . . . . . . . . . . . . . . . . $g$getParent
       101          53         302          29      1,904  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        48           6         202           5      7,186  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        24           7         142           6      3,314  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        59         124         292         105        476  . . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_uniID
        54         115         276          93        476  . . . . . . . . . . . . . . . . . . . . $g$getParent
        35          74         192          59        476  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        17           7          89           5      2,380  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         6           7          28           6        952  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        58         122         613          88        476  . . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
        52         111         599          78        476  . . . . . . . . . . . . . . . . . . . . $g$getParent
        28          60         156          42        476  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        13           7          25           5      1,918  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        10           7          25           6      1,410  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        54         113         261          93        476  . . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_maxVc
        50         105         245          86        476  . . . . . . . . . . . . . . . . . . . . $g$getParent
        31          66         153          54        476  . . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        15           6          26           5      2,380  . . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         6           7          28           6        952  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         7          10          35           7        766  . . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
         3          10          20           7        383  . . . . . . . . . . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         3           8          23           5        383  . . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
         2           5          19           4        476  . . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         2           4           8           3        476  . . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
       929       1,213      25,395         113        766  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R25-33-38-42-47-52
       920         600      25,204          50      1,532  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
       896         533      25,045          42      1,680  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        58           6          74           5      8,624  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         2           7          20           6        296  . . . . . . . . . . . . . . . . . . . . $g$getItemById
       223       2,868       6,405          31         78  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.remapGUIDs
         0          12          42           7         78  . . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
        40          84         200          75        476  . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_uniID
        35          75         176          67        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        30          65         157          58        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        15           6          20           5      2,380  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        36          76         196          68        476  . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_evcID
        29          61         164          55        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        24          52         149          46        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        12           6          63           5      1,904  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        35          75         264          67        476  . . . . . . . . . . . . . . . . . . $g$dvr_rsUni_maxVc
        32          67         250          61        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        28          58         237          53        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        14           6         121           5      2,380  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        33          70         146          56        476  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R12-002
        30          63         130          49        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        25          54         111          40        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        12           6          49           5      1,918  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        31          65         140          59        476  . . . . . . . . . . . . . . . . . . $g$RS_CeVlanIdEvcMap_listOfCeVlanId
        27          57         126          52        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        23          48         117          44        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        11           6          47           5      1,904  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        31          65         147          51        476  . . . . . . . . . . . . . . . . . . $g$dvr_cfssEvcUni_uniEvcID
        28          59         140          45        476  . . . . . . . . . . . . . . . . . . . $g$getParent
        24          50         132          37        476  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        12           6          18           5      1,918  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
        30          80         212          55        383  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
        28          74         200          50        383  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        23          61         181          42        383  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        12           6          23           5      2,008  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         0           6          11           6         74  . . . . . . . . . . . . . . . . . . . . $g$getItemById
        30          80         194          56        383  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
        28          74         181          51        383  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
        23          61         168          43        383  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
        12           6          81           5      2,008  . . . . . . . . . . . . . . . . . . . . . $g$getItemById
         0           6          13           6         74  . . . . . . . . . . . . . . . . . . . . $g$getItemById
         5          13          47           8        383  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
         3           9          37           4        383  . . . . . . . . . . . . . . . . . . $g$mefServiceTechnology_PS_EVC
         3           7          19           6        476  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         3           4          11           3        766  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
         2           4          16           3        476  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R103-002
         2          27          46          15         78  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.updateSites
         1          13          19           8         78  . . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.updateAccounts
